"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2021","33","PM2.5","Durham Armory","37-063-0015","AQS",".","4","33"
"01/02/2021","29","PM2.5","Durham Armory","37-063-0015","AQS",".","6","29"
"01/03/2021","25","PM2.5","Durham Armory","37-063-0015","AQS",".","2","25"
"01/04/2021","21","PM2.5","Durham Armory","37-063-0015","AQS",".","5","21"
"01/05/2021","51","PM2.5","Durham Armory","37-063-0015","AQS",".","11","51"
"01/06/2021","25","PM2.5","Durham Armory","37-063-0015","AQS",".","6","25"
"01/07/2021","42","PM2.5","Durham Armory","37-063-0015","AQS",".","9","42"
"01/08/2021","52","PM2.5","Durham Armory","37-063-0015","AQS",".","6","52"
"01/09/2021","42","PM2.5","Durham Armory","37-063-0015","AQS",".","6","42"
"01/10/2021","44","PM2.5","Durham Armory","37-063-0015","AQS",".","7","44"
"01/11/2021","56","PM2.5","Durham Armory","37-063-0015","AQS",".","13","56"
"01/12/2021","52","PM2.5","Durham Armory","37-063-0015","AQS",".","10","52"
"01/13/2021","44","PM2.5","Durham Armory","37-063-0015","AQS",".","11","44"
"01/14/2021","54","PM2.5","Durham Armory","37-063-0015","AQS",".","11","54"
"01/15/2021","62","PM2.5","Durham Armory","37-063-0015","AQS",".","16","62"
"01/16/2021","43","PM2.5","Durham Armory","37-063-0015","AQS",".","10","43"
"01/17/2021","23","PM2.5","Durham Armory","37-063-0015","AQS",".","4","23"
"01/18/2021","31","PM2.5","Durham Armory","37-063-0015","AQS",".","7","31"
"01/19/2021","45","PM2.5","Durham Armory","37-063-0015","AQS",".","12","45"
"01/20/2021","52","PM2.5","Durham Armory","37-063-0015","AQS",".","13","52"
"01/21/2021","54","PM2.5","Durham Armory","37-063-0015","AQS",".","16","54"
"01/22/2021","31","PM2.5","Durham Armory","37-063-0015","AQS",".","8","31"
"01/23/2021","26","PM2.5","Durham Armory","37-063-0015","AQS",".","6","26"
"01/24/2021","53","PM2.5","Durham Armory","37-063-0015","AQS",".","10","53"
"01/25/2021","57","PM2.5","Durham Armory","37-063-0015","AQS",".","9","57"
"01/26/2021","36","PM2.5","Durham Armory","37-063-0015","AQS",".","4","36"
"01/27/2021","46","PM2.5","Durham Armory","37-063-0015","AQS",".","10","46"
"01/28/2021","39","PM2.5","Durham Armory","37-063-0015","AQS",".","6","39"
"01/29/2021","34","PM2.5","Durham Armory","37-063-0015","AQS",".","7","34"
"01/30/2021","52","PM2.5","Durham Armory","37-063-0015","AQS",".","10","52"
"01/31/2021","44","PM2.5","Durham Armory","37-063-0015","AQS",".","5","44"
"02/01/2021","26","PM2.5","Durham Armory","37-063-0015","AQS",".","4","26"
"02/02/2021","22","PM2.5","Durham Armory","37-063-0015","AQS",".","3","22"
"02/03/2021","11","PM2.5","Durham Armory","37-063-0015","AQS",".","3","11"
"02/04/2021","29","PM2.5","Durham Armory","37-063-0015","AQS",".","7","29"
"02/05/2021","62","PM2.5","Durham Armory","37-063-0015","AQS",".","19","62"
"02/06/2021","27","PM2.5","Durham Armory","37-063-0015","AQS",".","6","27"
"02/07/2021","28","PM2.5","Durham Armory","37-063-0015","AQS",".","2","28"
"02/08/2021","40","PM2.5","Durham Armory","37-063-0015","AQS",".","8","40"
"02/09/2021","50","PM2.5","Durham Armory","37-063-0015","AQS",".","14","50"
