"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2022","150","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","6","150","25","73","30"
"01/02/2022","136","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","136","22","64","37"
"01/03/2022","129","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","17","129","53","76","43"
"01/04/2022","119","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","119","53","85","42"
"01/05/2022","100","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","17","100","62","89","40"
"01/06/2022","102","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","17","101","60","102","45"
"01/07/2022","122","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","20","122","64","89","43"
"01/08/2022","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","22","133","50","85","41"
"01/09/2022","143","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","19","143","39","88","39"
"01/10/2022","154","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","154","67","64","41"
"01/11/2022","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","133","63","61","40"
"01/12/2022","115","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","18","115","76","72","49"
"01/13/2022","119","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","23","119","89","77","47"
"01/14/2022","112","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","16","112","88","73","42"
"01/15/2022","159","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","20","159","61","70","38"
"01/16/2022","150","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","15","150","44","68","42"
"01/17/2022","143","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","18","143","95","75","47"
"01/18/2022","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","18","133","79","66","38"
"01/19/2022","140","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","140","57","58","37"
"01/20/2022","133","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","16","133","57","65","41"
"01/21/2022","151","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","151","57","56","43"
"01/22/2022","147","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","16","147","55","57","35"
"01/23/2022","126","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","126","17","51","33"
"01/24/2022","150","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","150","54","65","38"
"01/25/2022","154","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","154","56","65","37"
"01/26/2022","161","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","14","161","66","66","42"
"01/27/2022","156","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","156","60","64","41"
"01/28/2022","187","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","8","187","106","58","41"
"01/29/2022","179","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","10","179","46","58","43"
"01/30/2022","187","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","11","187","37","61","40"
"01/31/2022","185","Ozone","Fort McDowell/Yuma Frank","04-013-5100","AQS","13","185","78","66","42"
"02/01/2022","67","PM10","WEST 43RD AVENUE","04-013-4009","AQS","11","44","67","61","42"
"02/02/2022","79","PM10","WEST 43RD AVENUE","04-013-4009","AQS","11","44","79","53","36"
"02/03/2022","61","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","45","61","61","44"
"02/04/2022","80","PM10","HIDDEN VALLEY","04-021-3015","AQS","8","47","80","61","43"
"02/05/2022","71","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","14","48","45","71","46"
"02/06/2022","76","PM2.5","WEST PHOENIX","04-013-0019","AQS","22","45","53","76","40"
"02/07/2022","52","PM2.5","TEMPE","04-013-4005","AQS","13","47","52","52","48"
"02/08/2022","71","PM10","WEST 43RD AVENUE","04-013-4009","AQS","14","44","71","67","46"
"02/09/2022","74","PM10","WEST 43RD AVENUE","04-013-4009","AQS","17","46","74","73","58"
"02/10/2022","74","PM10","WEST 43RD AVENUE","04-013-4009","AQS","14","51","74","61","56"
"02/11/2022","70","PM10","HIDDEN VALLEY","04-021-3015","AQS","17","47","70","66","46"
"02/12/2022","84","PM10","HIDDEN VALLEY","04-021-3015","AQS","17","48","84","67","43"
"02/13/2022","71","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","47","46","71","48"
"02/14/2022","92","PM10","HIDDEN VALLEY","04-021-3015","AQS","17","46","92","78","49"
"02/15/2022","100","PM10","HIDDEN VALLEY","04-021-3015","AQS","19","54","100","67","37"
"02/16/2022","57","PM10","WEST 43RD AVENUE","04-013-4009","AQS","5","48","57","45","31"
"02/17/2022","52","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","7","44","45","52","42"
"02/18/2022","61","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","13","43","61","61","44"
"02/19/2022","85","PM2.5","WEST PHOENIX","04-013-0019","AQS","18","45","69","85","44"
"02/20/2022","65","PM10","HIDDEN VALLEY","04-021-3015","AQS","19","47","65","58","39"
"02/21/2022","74","PM10","WEST 43RD AVENUE","04-013-4009","AQS","6","49","74","56","38"
"02/22/2022","52","PM2.5","TEMPE","04-013-4005","AQS","3","45","52","52","36"
"02/23/2022","53","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS","5","41","53","41","27"
"02/24/2022","52","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","44","21","52","40"
"02/25/2022","58","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","47","41","58","41"
"02/26/2022","64","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","11","48","37","64","41"
"02/27/2022","54","PM2.5","SOUTH PHOENIX","04-013-4003","AQS","9","49","23","54","42"
"02/28/2022","64","PM10","WEST 43RD AVENUE","04-013-4009","AQS","16","51","64","62","48"
"03/01/2022","75","PM10","WEST 43RD AVENUE","04-013-4009","AQS","15","61","75","69","62"
